0,Total TD61106 Mixer درل خلط 1100 واط,40.00 ,50.00 
0,TOTAL  TD614006 Mixer 1400W M14 درل خلط جديد صناعي,58.00 ,76.00 
0,Total TD616006 Mixer درل خلط دهان مزدوج 1800 واط,79.00 ,110.00 
0,TOTAL TAC331120 Mix paddle 120*600MM ريشة خلط دهان سن 14 ملم,6.60 ,9.00 
0,Total TH306236 Rotary hammer 650W همر 2 كيلو مع شنطة بلاستيك,30.00 ,40.00 
0,TOTAL ROTARY HAMMER SDS-PLUS 650W 1.7J همر,28.50 ,40.00 
0,TOTAL TH308266-2 Rotary hammer 800W 26mm 2.5J SDS plus  همر كهرباء مع جوزة اتوماتيك,44.00 ,60.00 
0,TOTAL TH308266+TH308268 Rotary hammer 800W 26mm 2.5J SDS plus  همر كهرباء,40.00 ,55.00 
0,Total TH308268-2 Rotary hammer 800w همر مع جوزة اتوماتيك,48.00 ,65.00 
0,Total TH309288 Rotary hammer 950W همر كهرباء,46.50 ,60.00 
0,TOTAL TH110286 Rotary hammer 1050W 28mm 5J SDS plus همر كهرباء,48.00 ,58.00 
0,TOTAL TH115326 Rotary hammer 1500W 32mm 5.5J SDS plus  همر كهرباء,55.00 ,67.00 
0,TOTAL TH1153216 ROTARY HAMMER SDS-PLUS 1.500W همر ١٥٠٠ واط,50.00 ,67.00 
0,Total TH1153256 Rotary hammer SDS plus همر كهرباء 1500 واط,56.00 ,77.00 
0,TOTAL TH118366 Rotary hammer 1800W 36mm 7J SDS plus  همر كهرباء,66.00 ,88.00 
0,TOTAL TH112386 Rotary hammer1200W 38mm 1-8J SDS MAX همر كهرباء 3 حركات,105.00 ,146.00 
0,Total TG107136 Impact drill درل كهرباء 710 واط 13 ملم,20.00 ,28.00 
0,TOTAL TH116386 Rotary hammer1600W 38mm 9J SDS MAX همر كهرباء 3 حركات,90.00 ,120.00 
0,Rotary Hammer 1200W MAX همر ماكس 6 كيلو 3 حركات,115.00 ,158.00 
0,Total TH215002 Demolition breaker SDS-Max همر تكسير 12 كيلو 1500 واط,165.00 ,210.00 
0,TOTAL TH213006 Demolition breaker 1300W 20J همر تكسير عفريت  SDS,69.00 ,97.00 
0,Total TH115526 Rotary hammer همر 12 كيلو 3 حركات 1500 واط SDS MAX,333.00 ,440.00 
